LATITUDE;LONGITUDE;ALTITUDE;GEOMETRY;NAME_DER_SCHULE;ANSCHRIFT;BESCHREIBUNG_(STADTTEIL-SCHULFORM-SCHULTRAEGER)
51.231488;6.846777;;Point;Freie Waldorfschule - Rudolf Steiner Schule;Diepenstraße 15 - 40625 - Düsseldorf -;Gerresheim - Gymnasium - Sonstiger Träger
51.176184;6.863951;;point;Freies Christliches Gymnasium Düsseldorf;Buchenstraße 1 - 40599 - Düsseldorf -;Reisholz - Gymnasium - Sonstiger Träger
51.20925;6.78731;;point;Freiherr-vom-Stein-Realschule;Färberstraße 40 - 40223 - Düsseldorf -;Bilk - Realschule - Stadt Düsseldorf
51.25979;6.81356;;point;Friedrich-Rückert-Gymnasium;Rückertstraße 6 - 40470 - Düsseldorf -;Rath - Gymnasium - Stadt Düsseldorf
51.22901;6.75739;;point;Friedrich-von-Bodelschwingh-Schule;Cimbernstraße 24 - 40545 - Düsseldorf -;Oberkassel - Grundschule - Stadt Düsseldorf
51.32858;6.78576;;point;Friedrich-von-Spee-Schule;Am Litzgraben 28A - 40489 - Düsseldorf -;Angermund - Grundschule - Stadt Düsseldorf
51.14705;6.90101;;point;Fritz-Henkel-Schule;Stettiner Straße 98 - 40595 - Düsseldorf -;Garath - Hauptschule - Stadt Düsseldorf
51.253931;6.761073;;point;Georg-Büchner-Gymnasium;Felix-Klein-Straße 3 - 40474 - Düsseldorf -;Golzheim - Gymnasium - Stadt Düsseldorf
51.21638;6.86241;;point;Georg-Schulhoff-Realschule;Kamper Weg 291 - 40627 - Düsseldorf -;Vennhausen - Realschule - Stadt Düsseldorf
51.2649451;6.75161;;point;Gerhard-Tersteegen-Schule;Beckbuschstraße 2 - 40474 - Düsseldorf -;Stockum - Grundschule - Stadt Düsseldorf
51.14705;6.90101;;point;Gesamtschule Stettiner Straße;Stettiner Straße 98 - 40595 - Düsseldorf -;Garath - Gesamtschule - Stadt Düsseldorf
51.204852;6.791930;;point;Geschwister-Scholl-Gymnasium;Redinghovenstraße 41 - 40225 - Düsseldorf -;Bilk - Gymnasium - Stadt Düsseldorf
51.14278;6.905080;;point;GGS Adam-Stegerwald-Straße;Adam-Stegerwald-Straße 14 - 40595 - Düsseldorf -;Garath - Grundschule - Stadt Düsseldorf
51.17975;6.86648;;point;GGS Am Köhnen;Am Köhnen 73 - 40599 - Düsseldorf -;Hassels - Grundschule - Stadt Düsseldorf
51.20088;6.81968;;point;GGS Bingener Weg;Bingener Weg 10 - 40229 - Düsseldorf -;Eller - Grundschule - Stadt Düsseldorf
51.1913399;6.85915;;point;GGS Deutzer Straße;Deutzer Straße 102 - 40229 - Düsseldorf -;Eller - Grundschule - Stadt Düsseldorf
51.22858;6.81646;;point;GGS Flurstraße;Flurstraße 59 - 40235 - Düsseldorf -;Flingern-Nord - Grundschule - Stadt Düsseldorf
51.2156;6.78854;;point;GGS Helmholtzstraße;Helmholtzstraße 16 - 40215 - Düsseldorf -;Friedrichstadt - Grundschule - Stadt Düsseldorf
51.3022599;6.73815;;point;GGS Kaiserswerth;Fliednerstraße 32 - 40489 - Düsseldorf -;Kaiserswerth - Grundschule - Stadt Düsseldorf
51.2674;6.87515;;point;GGS Knittkuhl;Am Mergelsberg 1 - 40629 - Düsseldorf -;Knittkuhl - Grundschule - Stadt Düsseldorf
51.21559;6.76951;;point;GGS Konkordiastraße;Konkordiastraße 26 - 40219 - Düsseldorf -;Unterbilk - Grundschule - Stadt Düsseldorf
51.28501;6.79672;;point;GGS Krahnenburgstraße;Krahnenburgstraße 15 - 40472 - Düsseldorf -;Lichtenbroich - Grundschule - Stadt Düsseldorf
51.21017;6.76927;;point;GGS Kronprinzenstraße;Kronprinzenstraße 107 - 40217 - Düsseldorf -;Unterbilk - Grundschule - Stadt Düsseldorf
51.23922;6.79063;;point;GGS Lennéstraße;Lennéstraße 5 - 40477 - Düsseldorf -;Pempelfort - Grundschule - Stadt Düsseldorf
51.2434299;6.73248;;point;GGS Lörick;Wickrather Straße 31 - 40547 - Düsseldorf -;Lörick - Grundschule - Stadt Düsseldorf
51.25203;6.80917;;point;GGS Max-Halbe-Straße;Max-Halbe-Straße 14 - 40470 - Düsseldorf -;Mörsenbroich - Grundschule - Stadt Düsseldorf
51.14972;6.89779;;point;GGS Neustrelitzer Straße - Gudrun-Pausewang-Schule;Neustrelitzer Straße 10 - 40595 - Düsseldorf -;Garath - Grundschule - Stadt Düsseldorf
51.2049499;6.83765;;point;GGS Richardstraße;Richardstraße 14 - 40231 - Düsseldorf -;Eller - Grundschule - Stadt Düsseldorf
51.24546;6.7765;;point;GGS Rolandstraße;Rolandstraße 40 - 40476 - Düsseldorf -;Golzheim - Grundschule - Stadt Düsseldorf
51.21278;6.79167;;point;GGS Sonnenstraße;Sonnenstraße 10 - 40227 - Düsseldorf -;Oberbilk - Grundschule - Stadt Düsseldorf
51.210272;6.807943;;point;GGS Stoffeler Straße;Stoffeler Straße 11 - 40227 - Düsseldorf -;Oberbilk - Grundschule - Stadt Düsseldorf
51.154081;6.882864;;point;GGS Südallee;Südallee 100 - 40593 - Düsseldorf -;Urdenbach - Grundschule - Stadt Düsseldorf
51.275739;6.782883;;point;GGS Unterrath;Beedstraße 31 - 40468 - Düsseldorf -;Unterrath - Grundschule - Stadt Düsseldorf
51.1465;6.87171;;point;GGS Urdenbach;Garather Straße 16 - 40593 - Düsseldorf -;Urdenbach - Grundschule - Stadt Düsseldorf
51.205935;6.855874;;point;GGS Vennhauser Allee;Vennhauser Allee 160-162 - 40627 - Düsseldorf -;Vennhausen - Grundschule - Stadt Düsseldorf
51.25575;6.80934;;point;GGS Wrangelstraße - Janusz-Korczak-Schule;Wrangelstraße 40 - 40470 - Düsseldorf -;Rath - Grundschule - Stadt Düsseldorf
51.167114;6.867365;;point;GHS Benrath;Melanchthonstraße 2 - 40597 - Düsseldorf -;Benrath - Hauptschule - Stadt Düsseldorf
51.20033;6.8361;;point;GHS Bernburger Straße;Bernburger Straße 44 - 40229 - Düsseldorf -;Eller - Hauptschule - Stadt Düsseldorf
51.24606;6.82312;;point;GHS Graf-Recke-Straße;Graf-Recke-Straße 230 - 40237 - Düsseldorf -;Grafenberg - Hauptschule - Stadt Düsseldorf
51.23459;6.80699;;point;Goethe-Gymnasium mit ehem. Rethel-Gymnasium;Lindemannstraße 57 - 40237 - Düsseldorf -;Düsseltal - Gymnasium - Stadt Düsseldorf
51.22122;6.77814;;point;Görres-Gymnasium;Königsallee 57 - 40212 - Düsseldorf -;Stadtmitte - Gymnasium - Stadt Düsseldorf
51.167146;6.869103;;point;Grundschule Schloss Benrath;Erich-Müller-Straße 31 - 40597 - Düsseldorf -;Benrath - Grundschule - Stadt Düsseldorf
51.2002499;6.84408;;point;Gumbertschule;Gumbertstraße 191 - 40229 - Düsseldorf -;Eller - Grundschule - Stadt Düsseldorf
51.24078;6.82438;;point;Gutenberg-Schule;Grafenberger Allee 384 - 40235 - Düsseldorf -;Grafenberg - Grundschule - Stadt Düsseldorf
51.24046;6.8586;;point;Gymnasium Gerresheim;Am Poth 60 - 40625 - Düsseldorf -;Gerresheim - Gymnasium - Stadt Düsseldorf
51.14966;6.8868;;point;Gymnasium Koblenzer Straße;Theodor-Litt-Straße 2 - 40593 - Düsseldorf -;Urdenbach - Gymnasium - Stadt Düsseldorf
51.21084;6.80582;;point;Gymnasium Schmiedestraße - Dumont-Lindemann-Schule;Schmiedestraße 25 - 40227 - Düsseldorf -;Oberbilk - Gymnasium - Stadt Düsseldorf
51.23771;6.8521;;point;Hanna-Zürndorfer-Schule;Benderstraße 78 - 40625 - Düsseldorf -;Gerresheim - Grundschule - Stadt Düsseldorf
51.24484;6.81847;;point;Heinrich-Heine-Gesamtschule;Graf-Recke-Straße 170 - 40237 - Düsseldorf -;Mörsenbroich - Gesamtschule - Stadt Düsseldorf
51.2308499;6.7058;;point;Heinrich-Heine-Schule;Heerdter Landstraße 186 - 40549 - Düsseldorf -;Heerdt - Grundschule - Stadt Düsseldorf
51.2061;6.79014;;point;Heinrich-Hertz-Berufskolleg;Redinghovenstraße 16 - 40225 - Düsseldorf -;Bilk - Berufs- Weiterbildungskolleg - Stadt Düsseldorf
51.19021;6.81433;;point;Henri-Dunant-Schule;Rheindorfer Weg 20 - 40591 - Düsseldorf -;Wersten - Grundschule - Stadt Düsseldorf
51.17828;6.87515;;point;Hermann-Gmeiner-Schule;Schillstraße 7 - 40599 - Düsseldorf -;Hassels - Grundschule - Stadt Düsseldorf
51.14179;6.89415;;point;Hermann-Harry-Schmitz-Weiterbildungskolleg - Abendrealschule;Emil-Barth-Straße 45 - 40595 - Düsseldorf -;Garath - Berufs- Weiterbildungskolleg - Stadt Düsseldorf
51.203139;6.791251;;point;Hulda-Pankok-Gesamtschule;Brinckmannstraße 16 - 40225 - Düsseldorf -;Bilk - Gesamtschule - Stadt Düsseldorf
51.2297584;6.7910574;;point;Humboldt-Gymnasium;Pempelforter Straße 40 - 40211 - Düsseldorf -;Pempelfort - Gymnasium - Stadt Düsseldorf
51.291432;6.736249;;point;International School of Düsseldorf - High School;Niederrheinstraße 336 - 40489 - Düsseldorf -;Kaiserswerth - Gesamtschule - Sonstiger Träger
51.291432;6.736249;;point;International School of Düsseldorf - Priv. Gesamtschule der Sek. I;Niederrheinstraße 336 - 40489 - Düsseldorf -;Kaiserswerth - Gesamtschule - Sonstiger Träger
51.290962;6.737542;;point;International School of Düsseldorf - Priv. Grundschule;Niederrheinstraße 323 - 40489 - Düsseldorf -;Kaiserswerth - Grundschule - Sonstiger Träger
51.23575;6.78877;;point;Jan-Wellem-Schule - Standort 1 - Erich Kästner Schule;Franklinstraße 5 - 40479 - Düsseldorf -;Pempelfort - Förderschule - Stadt Düsseldorf
51.210508;6.802841;;Point;Jan-Wellem-Schule - Standort 2 - Jan-Daniel-Georgens-Schule;Oberbilker Allee 244 - 40227 - Düsseldorf -;Oberbilk - Förderschule - Stadt Düsseldorf
51.26779;6.8258;;point;Joachim-Neander-Schule;Rather Markt 2 - 40472 - Düsseldorf -;Rath - Grundschule - Stadt Düsseldorf
51.19881;6.81135;;point;Joseph-Beuys-Gesamtschule;Siegburger Straße 149 - 40591 - Düsseldorf -;Oberbilk - Gesamtschule - Stadt Düsseldorf
51.24697;6.78142;;point;Justus-von-Liebig-Realschule;Ottweilerstraße 20 - 40476 - Düsseldorf -;Golzheim - Realschule - Stadt Düsseldorf
51.275;6.7831;;point;Kartause-Hain-Schule;Unterrather Straße 76 - 40468 - Düsseldorf -;Unterrath - Grundschule - Stadt Düsseldorf
51.203245;6.901889;;point;Katholische Grundschule Carl Sonnenschein;Gerresheimer Landstraße 89 - 40627 - Düsseldorf -;Unterbach - Grundschule - Stadt Düsseldorf
51.16313;6.8854;;point;KGS Einsiedelstraße;Einsiedelstraße 25 - 40597 - Düsseldorf -;Benrath - Grundschule - Stadt Düsseldorf
51.24405;6.78451;;point;KGS Essener Straße;Essener Straße 1 - 40476 - Düsseldorf -;Derendorf - Grundschule - Stadt Düsseldorf
51.19373;6.76945;;point;KGS Fleher Straße;Fleher Straße 213 - 40223 - Düsseldorf -;Flehe - Grundschule - Stadt Düsseldorf
51.20592;6.74141;;point;KGS Florensstraße;Heinsenstraße 21 - 40221 - Düsseldorf -;Hamm - Grundschule - Stadt Düsseldorf
51.19203;6.83773;;point;KGS Fuldaer Straße;Fuldaer Straße 33 - 40229 - Düsseldorf -;Eller - Grundschule - Stadt Düsseldorf
51.21643;6.79963;;point;KGS Höhenstraße;Höhenstraße 5 - 40227 - Düsseldorf -;Oberbilk - Grundschule - Stadt Düsseldorf
51.14525;6.88899;;point;KGS Josef-Kleesattel-Straße;Josef-Kleesattel-Straße 13 - 40595 - Düsseldorf -;Garath - Grundschule - Stadt Düsseldorf
51.27566;6.73744;;point;KGS Lohausen;Im Grund 78 - 40474 - Düsseldorf -;Lohausen - Grundschule - Stadt Düsseldorf
51.22314;6.80667;;point;KGS Mettmanner Straße;Hubbelrather Straße 13 - 40233 - Düsseldorf -;Flingern-Süd - Grundschule - Stadt Düsseldorf
51.23739;6.75387;;point;KGS Niederkassel;Niederkasseler Straße 36 - 40547 - Düsseldorf -;Niederkassel - Grundschule - Stadt Düsseldorf
51.26279;6.80807;;point;KGS Rather Kreuzweg;Rather Kreuzweg 21 - 40472 - Düsseldorf -;Rath - Grundschule - Stadt Düsseldorf
